symbol,file,CZ_LookbackN,CZ_ATR_K,EnableSignalB
EURUSD,Acteck_v1.09_EURUSD_LB12_K1.20_B1.set,12,1.20,1
EURUSD,Acteck_v1.09_EURUSD_LB12_K1.25_B1.set,12,1.25,1
EURUSD,Acteck_v1.09_EURUSD_LB12_K1.30_B1.set,12,1.30,1
EURUSD,Acteck_v1.09_EURUSD_LB12_K1.35_B1.set,12,1.35,1
EURUSD,Acteck_v1.09_EURUSD_LB14_K1.20_B1.set,14,1.20,1
EURUSD,Acteck_v1.09_EURUSD_LB14_K1.25_B1.set,14,1.25,1
EURUSD,Acteck_v1.09_EURUSD_LB14_K1.30_B1.set,14,1.30,1
EURUSD,Acteck_v1.09_EURUSD_LB14_K1.35_B1.set,14,1.35,1
EURUSD,Acteck_v1.09_EURUSD_LB16_K1.20_B1.set,16,1.20,1
EURUSD,Acteck_v1.09_EURUSD_LB16_K1.25_B1.set,16,1.25,1
EURUSD,Acteck_v1.09_EURUSD_LB16_K1.30_B1.set,16,1.30,1
EURUSD,Acteck_v1.09_EURUSD_LB16_K1.35_B1.set,16,1.35,1
GBPUSD,Acteck_v1.09_GBPUSD_LB12_K1.20_B1.set,12,1.20,1
GBPUSD,Acteck_v1.09_GBPUSD_LB12_K1.25_B1.set,12,1.25,1
GBPUSD,Acteck_v1.09_GBPUSD_LB12_K1.30_B1.set,12,1.30,1
GBPUSD,Acteck_v1.09_GBPUSD_LB14_K1.20_B1.set,14,1.20,1
GBPUSD,Acteck_v1.09_GBPUSD_LB14_K1.25_B1.set,14,1.25,1
GBPUSD,Acteck_v1.09_GBPUSD_LB14_K1.30_B1.set,14,1.30,1
GBPUSD,Acteck_v1.09_GBPUSD_LB16_K1.20_B1.set,16,1.20,1
GBPUSD,Acteck_v1.09_GBPUSD_LB16_K1.25_B1.set,16,1.25,1
GBPUSD,Acteck_v1.09_GBPUSD_LB16_K1.30_B1.set,16,1.30,1
USDJPY,Acteck_v1.09_USDJPY_LB16_K1.00_B0.set,16,1.00,0
USDJPY,Acteck_v1.09_USDJPY_LB16_K1.05_B0.set,16,1.05,0
USDJPY,Acteck_v1.09_USDJPY_LB16_K1.10_B0.set,16,1.10,0
USDJPY,Acteck_v1.09_USDJPY_LB16_K1.15_B0.set,16,1.15,0
USDJPY,Acteck_v1.09_USDJPY_LB18_K1.00_B0.set,18,1.00,0
USDJPY,Acteck_v1.09_USDJPY_LB18_K1.05_B0.set,18,1.05,0
USDJPY,Acteck_v1.09_USDJPY_LB18_K1.10_B0.set,18,1.10,0
USDJPY,Acteck_v1.09_USDJPY_LB18_K1.15_B0.set,18,1.15,0
USDJPY,Acteck_v1.09_USDJPY_LB20_K1.00_B0.set,20,1.00,0
USDJPY,Acteck_v1.09_USDJPY_LB20_K1.05_B0.set,20,1.05,0
USDJPY,Acteck_v1.09_USDJPY_LB20_K1.10_B0.set,20,1.10,0
USDJPY,Acteck_v1.09_USDJPY_LB20_K1.15_B0.set,20,1.15,0
USDCHF,Acteck_v1.09_USDCHF_LB15_K1.00_B0.set,15,1.00,0
USDCHF,Acteck_v1.09_USDCHF_LB15_K1.05_B0.set,15,1.05,0
USDCHF,Acteck_v1.09_USDCHF_LB15_K1.10_B0.set,15,1.10,0
USDCHF,Acteck_v1.09_USDCHF_LB17_K1.00_B0.set,17,1.00,0
USDCHF,Acteck_v1.09_USDCHF_LB17_K1.05_B0.set,17,1.05,0
USDCHF,Acteck_v1.09_USDCHF_LB17_K1.10_B0.set,17,1.10,0
USDCHF,Acteck_v1.09_USDCHF_LB19_K1.00_B0.set,19,1.00,0
USDCHF,Acteck_v1.09_USDCHF_LB19_K1.05_B0.set,19,1.05,0
USDCHF,Acteck_v1.09_USDCHF_LB19_K1.10_B0.set,19,1.10,0
